,Timestamp,Close,Volume_(BTC),Normalized_Change
233703,1339340100,5.46,4.10674029,0.0
235215,1339430820,5.49,70.0,-0.0036563071297989877
236688,1339519200,5.6,5.54502,0.0
238132,1339605840,5.88,0.33955857,0.0
239613,1339694700,5.83,16.64392897,0.0
241061,1339781580,6.01,2.9586,0.0
242520,1339869120,6.44,8.41856986,0.004636785162287382
243982,1339956840,6.32,45.12,0.0
245477,1340046540,6.1,116.47213114,0.0
246955,1340135220,6.41,3.77758435,0.0
248404,1340222160,6.65,0.09380907,0.0
249845,1340308620,6.64,3.025,0.0
251361,1340399580,6.61,8.23822318,0.0
252808,1340486400,6.45,7.55038759,0.0
254297,1340575740,6.4,6.2203125,0.0
255762,1340663640,6.26,0.5,0.0
257202,1340750040,6.42,6.78933768,0.0
258671,1340838180,6.49,161.59275808,0.0
260209,1340930460,6.5,3.06306923,0.0
261655,1341017220,6.57,3.38698532,0.0
263100,1341103920,6.6,3.38770114,0.0
264561,1341191580,6.55,3.38860401,0.0
266105,1341284220,6.6,5.901,0.0
267668,1341378000,6.47,5.79784063,0.0
269117,1341464940,6.55,180.35578045,-0.004601226993865069
270563,1341551700,6.55,36.48,0.0015243902439024066
272064,1341641760,6.56,53.2,0.004552352048558459
273507,1341728340,6.7,1.0,0.0
274977,1341816540,6.77,1.0,0.0
276418,1341903000,7.07,0.58717792,0.0
277933,1341993900,7.13,8.5315568,0.0
279405,1342082220,7.15,3.73426573,0.0
280851,1342168980,7.64,1.58376963,0.0
282295,1342255620,7.53,24.0,0.0
283866,1342349880,7.49,7.84176484,0.0
285310,1342436520,7.43,0.70400058,0.0
286764,1342523760,8.2,19.988,0.0
288215,1342610820,8.4,19.03644,0.0
289663,1342697700,9.0,136.81894678,0.0
291140,1342786320,8.12,2.20566502,0.0
292580,1342872720,8.66,260.69743357,0.0
294116,1342964880,8.8,1.96590909,0.0
295556,1343051280,8.88,9.0,-0.0022573363431152766
296996,1343137680,8.57,1.40140023,0.0
298443,1343224500,8.4,11.93750229,0.0
299890,1343311320,8.6,2.99271482,0.0
301348,1343398800,8.83,1.32599735,0.0
302815,1343486820,8.8,29.6,0.0
304391,1343581380,8.73,70.0,0.0
305853,1343669100,8.88,18.3,0.0
307293,1343755500,9.27,18.0399137,0.0
308745,1343842620,9.34,46.92749463,0.0
310190,1343929320,9.58,19.19,0.0
311638,1344016200,11.2,20.0,-0.01818181818181812
313141,1344106380,10.94,11.8,0.0
314607,1344194340,10.35,14.09997818,0.0
316066,1344281880,10.87,2.9,0.0
317518,1344369000,10.75,30.26703862,0.004629629629629695
318972,1344456240,10.96,5.44233414,0.0
320416,1344542880,11.2,1.60410677,0.0
321863,1344629700,11.25,0.802,0.0
323315,1344716820,11.31,25.0,0.0
324798,1344805800,11.51,2.12245403,0.0
326287,1344895140,11.67,4.0,0.0
327728,1344981600,12.29,15.1,0.0
329171,1345068180,13.0,37.46099474,-0.009316770186335343
330611,1345154580,13.42,0.07451565,0.0
332096,1345243680,13.0,9.42230769,0.0
333553,1345331100,11.67,24.54701732,0.008496176720475757
334996,1345417680,8.1,4.12899524,0.0
336439,1345504260,9.75,2.23978127,0.0
337880,1345590720,10.18,1.84136806,0.0
339327,1345677540,9.96,35.0015744,0.0010030090270812223
340815,1345766820,10.03,30.0,0.0
342342,1345858440,10.25,80.29,0.019138755980861177
343831,1345947780,10.55,10.0,0.0
345325,1346037420,10.53,43.0,0.0
346766,1346123880,10.89,17.08,0.002747252747252689
348290,1346215320,11.03,9.0,0.0
349744,1346302560,10.8,4.6773805,0.0
351213,1346390700,10.42,6.0,0.0
352918,1346493000,9.9,61.0,0.0
354364,1346579760,9.69,80.8,0.0
355815,1346666820,10.24,1.079,0.0
357255,1346753220,10.26,46.6611474,0.0
358714,1346840760,10.33,1.0,0.0
360168,1346928000,10.75,8.14418605,0.0
361627,1347015540,11.05,5.10497737,0.0
363100,1347103920,10.9,0.41114582,0.0
364593,1347193500,10.96,18.98818351,-0.007352941176470594
366041,1347280380,10.98,5.0,0.0
367499,1347367860,10.97,2.19881203,0.0
368942,1347454440,11.11,5.37083708,0.0
370393,1347541500,11.33,8.78552515,0.0
371833,1347627900,11.43,44.39066483,0.0
373322,1347717240,11.61,11.41,0.0
374798,1347805800,11.59,16.0,0.0
376247,1347892740,11.65,36.19484978,0.0
377692,1347979440,11.88,51.3,0.0
379168,1348068000,12.39,0.444,0.0
380704,1348160160,12.45,22.02062249,0.0
382146,1348246680,12.16,2.70487804,0.0
